hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;DESCRIPTION;IP_ADDRESS;
DC2CFDZEUSA3-02;Ethernet3/6;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/7;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/8;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/9;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/10;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/11;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;Ethernet3/12;down (XCVR not inserted);down;;;
DC2CFDZEUSA3-02;port-channel10;down (Administratively down);;<*> DC2CFDZEUSA2-02_Po10;;
DC2CFDZEUSA3-02;port-channel11;up;;<*> DC2CFDZEUSA3-02_Po11_INTERSWITCH;;
DC2CFDZEUSA3-02;port-channel53;up;;DC2CLSZEUSA3-01/02_Eth2/15_VPC;;
DC2CFDZEUSA3-02;port-channel55;up;;<*> DC2CLSZEUSA2-05_6_Po201;;
DC2CFDZEUSA3-02;port-channel57;up;;<*> DC2CLSZEUSA2-07_8_Po203;;
DC2CFDZEUSA3-02;port-channel70;up;;DC2A3-ZEUS-SDX-A2_LA1;;
DC2CFDZEUSA3-02;port-channel71;up;;DC2A3-ZEUS-SDX-A2_LA2;;
DC2CFDZEUSA3-02;port-channel203;up;;<*> DC2CLSZEUSA3-03_04_Po203;;
DC2CFDZEUSA3-02;port-channel4092;up;;<*> DC2CLSZEUSB1-A3/A4_Po4092_VPC;;
DC2CFDZEUSA3-02;port-channel4094;up;;<*> DC2CLSZEUSB1-01/02_Po4094;;
DC2CFDZEUSA3-02;loopback1;up;;;192.2.20.133/32;
DC2CFDZEUSA3-02;loopback2;up;;;192.2.30.133/32;
DC2CFDZEUSA3-02;loopback29;up;;management_RVP_ETRALI;192.2.155.133/32;
DC2CFDZEUSA3-02;loopback37;up;;;192.2.245.133/32;
DC2CFDZEUSA3-02;loopback42;up;;;192.4.145.133/32;
DC2CFDZEUSA3-02;loopback53;up;;;192.2.7.133/32;
DC2CFDZEUSA3-02;loopback90;up;;LBK_MULTICAST_RP_RVP_RUS;192.2.7.254/32;
DC2CFDZEUSA3-02;Vlan1;down (Administratively down);down, autostate enabled;;;
DC2CFDZEUSA3-02;Vlan10;up;up, autostate enabled;;175.128.15.253/21;
DC2CFDZEUSA3-02;Vlan11;up;up, autostate enabled;;175.192.15.253/21;
DC2CFDZEUSA3-02;Vlan12;up;up, autostate enabled;;175.224.15.253/21;
DC2CFDZEUSA3-02;Vlan15;up;up, autostate enabled;;175.56.7.252/21;
DC2CFDZEUSA3-02;Vlan16;up;up, autostate enabled;;175.56.15.252/21;
