hostname;INTERFACE;LINK_STATUS;ADMIN_STATE;HARDWARE_TYPE;ADDRESS;BIA;DESCRIPTION;IP_ADDRESS;MTU;DUPLEX;SPEED;BANDWIDTH;DELAY;ENCAPSULATION;
;Ethernet1/45;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fdc;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/46;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fdd;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/47;down (SFP not inserted);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fde;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet1/48;down (Administratively down);down;1000/10000 Ethernet;002a.6aa3.fac2;544a.00ad.7fdf;;;1500;auto-duplex;auto-speed;10000000 Kbit;10 usec;ARPA;
;Ethernet2/1;up;up;40000 Ethernet;f8b7.e225.a0e0;f8b7.e225.a0e0;<*> AQUICFDZEUSR1-01_Eth2/1;;9216;full-duplex;40 Gb/s;40000000 Kbit;10 usec;ARPA;
;Ethernet2/2;down (Administratively down);down;40000 Ethernet;002a.6aa3.fac2;f8b7.e225.a0e4;RESERVED_FUTUR_L3BTOB;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;Ethernet2/3;down (XCVR not inserted);down;40000 Ethernet;002a.6aa3.fac2;f8b7.e225.a0e8;RESERVED;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;Ethernet2/4;down (XCVR not inserted);down;40000 Ethernet;002a.6aa3.fac2;f8b7.e225.a0ec;RESERVED;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;Ethernet2/5;up;up;40000 Ethernet;f8b7.e225.a0f0;f8b7.e225.a0f0;<*> AQUICLSZEUSR1-07_Eth2/4;;9216;full-duplex;40 Gb/s;40000000 Kbit;10 usec;ARPA;
;Ethernet2/6;up;up;40000 Ethernet;f8b7.e225.a0f4;f8b7.e225.a0f4;<*> AQUICLSZEUSR1-08_Eth2/4;;9216;full-duplex;40 Gb/s;40000000 Kbit;10 usec;ARPA;
;Ethernet5/1;up;up;40000 Ethernet;003c.1016.ae62;003c.1016.ae62;<*> AQUICFDZEUSR1-01_Eth5/1;;9216;full-duplex;40 Gb/s;40000000 Kbit;10 usec;ARPA;
;Ethernet5/2;down (XCVR not inserted);down;40000 Ethernet;002a.6aa3.fac2;003c.1016.ae66;RESERVED_FUTUR_L3BTOB;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;Ethernet5/3;down (XCVR not inserted);down;40000 Ethernet;002a.6aa3.fac2;003c.1016.ae6a;;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;Ethernet5/4;down (XCVR not inserted);down;40000 Ethernet;002a.6aa3.fac2;003c.1016.ae6e;;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;Ethernet5/5;down (XCVR not inserted);down;40000 Ethernet;002a.6aa3.fac2;003c.1016.ae72;;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;Ethernet5/6;down (XCVR not inserted);down;40000 Ethernet;002a.6aa3.fac2;003c.1016.ae76;;;1500;auto-duplex;auto-speed;40000000 Kbit;10 usec;ARPA;
;port-channel10;down (Administratively down);;Port-Channel;0000.0000.0000;0000.0000.0000;;;9216;auto-duplex;10 Gb/s;100000 Kbit;10 usec;ARPA;
;port-channel11;up;;Port-Channel;f8b7.e225.a0e0;f8b7.e225.a0e0;<*> AQUICFDZEUSR1-01_Po11;;9216;full-duplex;40 Gb/s;80000000 Kbit;10 usec;ARPA;
;port-channel55;up;;Port-Channel;f8b7.e225.a0f4;f8b7.e225.a0f4;<*> AQUICLSZEUSR1-07_8_Po10;;9216;full-duplex;40 Gb/s;80000000 Kbit;10 usec;ARPA;
;port-channel65;up;;Port-Channel;544a.00ad.7fbc;544a.00ad.7fbc;<*> AQUIR1-MKTPROD-CLS-N-FXP101_102_Po10;;9216;full-duplex;10 Gb/s;20000000 Kbit;10 usec;ARPA;
;port-channel81;up;;Port-Channel;544a.00ad.7fb9;544a.00ad.7fb9;SIGMA_IDS _AQUIR1-MATRIXG-01;;1500;full-duplex;10 Gb/s;30000000 Kbit;10 usec;ARPA;
;port-channel4091;up;;Port-Channel;544a.00ad.7fb3;544a.00ad.7fb3;<*> AQUICLSZEUSR1-05-6_Po4091;;9216;full-duplex;10 Gb/s;20000000 Kbit;10 usec;ARPA;
;port-channel4095;up;;Port-Channel;544a.00ad.7fb5;544a.00ad.7fb5;<*> AQUICLSZEUSR1-03_Po4095;;9216;full-duplex;10 Gb/s;20000000 Kbit;10 usec;ARPA;
;loopback37;up;;;;;;192.2.245.252/32;1500;;;8000000 Kbit;5000 usec;LOOPBACK;
;loopback42;up;;;;;;192.4.145.252/32;1500;;;8000000 Kbit;5000 usec;LOOPBACK;
;loopback53;up;;;;;;192.2.7.252/32;1500;;;8000000 Kbit;5000 usec;LOOPBACK;
;loopback90;up;;;;;LBK_MULTICAST_RP_RVP_RUS;192.2.7.253/32;1500;;;8000000 Kbit;5000 usec;LOOPBACK;
;Vlan1;down (Administratively down);down, autostate enabled;EtherSVI;002a.6aa3.fac2;;;;1500;;;1000000 Kbit;10 usec;ARPA;
;Vlan10;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.128.79.253/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan11;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.192.79.253/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan12;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.224.79.253/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan15;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.56.71.252/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan16;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.56.79.252/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan17;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.56.87.252/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan18;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.56.95.252/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan19;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;;175.56.103.252/21;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan20;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;ADMIN_NAS  Internet Address is 174.129.8.253/24;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan22;down (Administratively down);down, autostate enabled;EtherSVI;002a.6aa3.fac2;;PZEUS_NonRouted_Antivirus - KEEP SHUT L2 ONLY  Internet Address is 10.0.64.2/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan23;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;PZEUS_STD_FO_VARONIS_AQUI  Internet Address is 175.128.87.253/21;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan30;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;HDI_AGILE_MARK_DC2  Internet Address is 173.1.193.253/24;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan995;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;Int_Admin_NOOBA_IB  Internet Address is 192.0.15.164/27;;1500;;;1000000 Kbit;10 usec;ARPA;
;Vlan2502;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;PRVSHAREDSERVICES_To_ORI-A2  Internet Address is 192.4.148.5/30;;1500;;;1000000 Kbit;10 usec;ARPA;
;Vlan2503;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;PRVSHAREDSERVICES_To_ AQUIZEUSR1-01  Internet Address is 192.4.148.10/30;;1500;;;1000000 Kbit;10 usec;ARPA;
;Vlan3001;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.65.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3002;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.67.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3003;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.69.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3004;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.71.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3005;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.73.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3006;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.75.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3007;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.77.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3008;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.79.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3009;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.81.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3010;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.83.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3011;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.85.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
;Vlan3012;up;up, autostate enabled;EtherSVI;002a.6aa3.fac2;;OUTSOURCING_SERVICES  Internet Address is 173.1.87.253/23;;9216;;;1000000 Kbit;10 usec;ARPA;
